"","PreCG_L_SA","SFGdor_L_SA","ORBsup_L_SA","MFG_L_SA","ORBmid_L_SA","IFGoperc_L_SA","IFGtriang_L_SA","ORBinf_L_SA","ROL_L_SA","SMA_L_SA","OLF_L_SA","SFGmed_L_SA","ORBsupmed_L_SA","REC_L_SA","INS_L_SA","ACG_L_SA","DCG_L_SA","PCG_L_SA","PHG_L_SA","CAL_L_SA","CUN_L_SA","LING_L_SA","SOG_L_SA","MOG_L_SA","IOG_L_SA","FFG_L_SA","PoCG_L_SA","SPG_L_SA","IPL_L_SA","SMG_L_SA","ANG_L_SA","PCUN_L_SA","PCL_L_SA","HES_L_SA","STG_L_SA","TPOsup_L_SA","MTG_L_SA","TPOmid_L_SA","ITG_L_SA","PreCG_R_SA","SFGdor_R_SA","ORBsup_R_SA","MFG_R_SA","ORBmid_R_SA","IFGoperc_R_SA","IFGtriang_R_SA","ORBinf_R_SA","ROL_R_SA","SMA_R_SA","OLF_R_SA","SFGmed_R_SA","ORBsupmed_R_SA","REC_R_SA","INS_R_SA","ACG_R_SA","DCG_R_SA","PCG_R_SA","PHG_R_SA","CAL_R_SA","CUN_R_SA","LING_R_SA","SOG_R_SA","MOG_R_SA","IOG_R_SA","FFG_R_SA","PoCG_R_SA","SPG_R_SA","IPL_R_SA","SMG_R_SA","ANG_R_SA","PCUN_R_SA","PCL_R_SA","HES_R_SA","STG_R_SA","TPOsup_R_SA","MTG_R_SA","TPOmid_R_SA","ITG_R_SA"
"OLF_L_SA",0.9295,0.8558,0.6398,1,1,1,0.2442,1,0.6384,0.8814,1,0.7335,0.8173,0.5984,0.715,0.9059,1,1,1,0.8209,1,0.7097,0.795,0.5514,0.8521,0.7835,1,0.7138,1,1,0.9456,1,1,0.6804,0.8294,1,1,0.6862,0.869,1,0.5766,0.9322,1,0.6074,1,1,0.8873,0.728,0.9495,0.7391,1,1,0.9234,0.6535,0.7725,0.8003,1,0.8439,0.7052,1,0.8726,1,0.5948,0,0.7201,0.9485,1,1,1,0.9936,0.916,0.7956,0.6036,0.9735,0.9866,0.7463,1,0.97
"SFGmed_L_SA",0.9725,0.8758,0.8019,0.9912,0.9026,0.9974,0.6329,1,1,0.9333,0.7168,1,0.959,1,0.8322,1,1,0.9016,1,0.7983,1,0.7152,0.8564,0.4943,0.9928,1,0.949,0.6684,0.5973,0.9821,0.4635,1,1,0.6331,0.7485,0.8881,0.9732,0.9671,0.8915,1,0.9132,0.9979,1,0.8328,1,0.7696,0.8959,0.8526,0.7056,0.7496,0.9287,1,1,0.7554,0.638,0.9162,0.8822,0.7716,0.5529,1,0.7689,1,0.7798,0.3583,0.5876,0.8294,1,0.5356,0.7731,0.5098,0.9661,0.7608,0.8839,1,0.9065,0.8727,0.6962,1
"ORBsupmed_L_SA",0.8533,1,0.4728,1,0.5577,0.6515,1,0.9216,0.6685,1,0.8158,1,1,0.2882,1,0.321,0.8583,1,0.8606,0.0272,0.6304,1,0.6785,0.2389,1,0.7767,0.791,0.8519,0.7192,1,0.7228,0.9224,1,0.3242,1,0.785,1,0,1,1,1,0.3455,0.9607,0.4469,0.7455,0.6955,1,0.2656,0.9895,0.4879,0.8533,1,1,0.8727,0.3915,0.862,0.2001,0.5229,1,1,0.6985,0.6335,0.427,1,0.7347,0.8118,1,0.6966,0.2944,0.7992,0.8236,0.8002,0.19,0.4727,0.8769,1,0.1287,1
"REC_L_SA",1,0.7352,0.4636,1,0.4852,1,0.2737,0.775,0.7562,0.9395,0.6064,1,0.2773,1,0.8069,0,0.669,1,0.8636,0.8089,1,1,0,0.0711,0.9784,0.6875,0.9653,1,1,1,0.7658,1,1,0.9744,1,0.7755,1,0.4169,0.9801,1,1,0.4195,0.8485,0.6583,0.712,0.6246,1,0.4837,1,0.4458,1,0.8239,0.6997,1,0.6883,0.8183,1,0.4725,1,1,0.5675,0.1492,0.8505,0,0.7933,0.7704,1,0.7325,0.8371,1,1,0.753,0,0.9592,0.7912,1,0.4232,0.7329
"INS_L_SA",0.9374,0.962,0.8626,1,1,0.9555,0.9317,0.6474,0.7642,0.8775,0.6931,0.8323,0.961,0.7506,1,1,0.7401,0.9215,0.9552,0.8431,0.9739,0.8742,0.7514,0.5057,0.9353,1,1,0.9212,0.9854,0.8235,0.9214,1,0.8951,0.3799,0.902,1,0.8757,1,0.9218,1,0.8796,0.9481,1,0.8239,1,0.6773,0.5743,0.934,0.8669,0.3148,1,1,0.8293,0.8183,0.8233,0.9247,0.9297,0.8007,0.9649,0.9488,0.8549,0.9056,0.7886,0.7383,0.894,0.8371,0.9341,0.9384,0.8132,1,1,0.6051,0.4496,0.867,0.9794,0.9585,0.9437,0.9812
"ACG_L_SA",1,1,1,0.939,0,0.8315,0.472,0.8695,1,1,0.9205,1,0.3093,1,1,1,0.8675,1,1,0.6705,0.3804,0.7987,0.1912,0.3101,0,1,1,1,0.7282,0.7786,0.7362,0.6428,0.7951,0.4903,1,0.625,0.6703,0.8442,1,1,0.7694,0.8001,0.6742,0.8664,0.2407,0.9795,1,0.3028,0.9768,0.3908,0.7578,0.7694,0.9012,0.7005,0.7488,0.8859,0,0.8437,1,0.1605,0.9771,1,0.7949,0.2862,0.4773,0.9595,0.9424,0.8944,0.9225,1,0.4474,0.908,1,0.6905,1,0.649,0.2668,1
"DCG_L_SA",1,0.8677,1,0.9448,0.9814,0.7823,0.9914,0.1492,0.9423,0.8993,1,1,0.7889,0.645,0.7487,0.8713,1,1,1,0.6777,0.7054,1,1,0.7738,0.717,0.9375,1,1,1,0.8513,0.8434,1,0.5907,0.4786,1,1,0.735,1,0.8956,1,1,0.5987,0.8663,0.4458,1,0.1009,0.6306,1,0.9953,1,1,0.8505,0.5854,1,1,0.9106,1,0.5971,1,0.6562,1,0.1204,0.9397,0.9816,0.9692,0.9166,0.9557,0.8727,0.6113,1,1,0.4863,0.6022,1,0.8015,0.9864,0.9171,0.9571
"PCG_L_SA",0.8395,1,0.9551,1,1,1,1,1,1,1,1,0.9493,1,1,0.9822,1,1,1,1,1,0.9784,0.3178,1,0.9079,0.6095,1,1,0.7552,1,0.4368,0.9232,1,1,1,0.4611,0.4628,1,0.4896,1,0.8233,1,1,1,1,1,1,1,1,0.4189,1,1,1,1,1,1,1,0.7559,1,0.9763,0.7379,0.7064,0.4503,1,1,0.9607,0.9562,0.8139,0.7205,0.8284,1,0.963,0.951,0.4021,1,1,0.8977,0.6997,1
"PHG_L_SA",0.9776,1,0.9932,0.9284,0.9514,1,0.2616,1,1,0.7469,1,1,0.8602,0.8681,0.9796,1,1,1,1,0.8488,1,1,0.3637,0.6749,1,0.9042,1,0.5717,0.9802,1,1,1,0.7838,0.6685,0.8681,1,1,1,1,1,1,1,0.9829,0.7862,0.8305,0.8704,0.5006,1,1,0.4986,0.8638,1,0.947,1,1,0.7267,0.6632,0.948,0.7572,0.9411,0.8705,1,0.7941,0.9693,1,0.9052,1,1,0.7934,1,0.9869,0.8442,0.2159,0.7053,1,1,0.5829,1
"CAL_L_SA",1,0.9549,0.9761,1,1,1,0.153,0.3711,1,0.9111,0.8335,0.8185,0,0.5886,0.871,0.6269,0.6771,0.9783,0.8608,1,1,1,1,0.7116,0.8381,1,1,0.696,1,0.8825,1,1,0.8471,0.4393,0.9329,1,0.7272,0.4572,1,0.9522,1,0.9976,1,0.8251,1,0,0.7027,0.8135,0.8036,0.9973,1,0.8903,0.9909,0.7104,0.9877,0.8581,0.8028,0.8468,0.9095,0.6693,0.8384,0.8662,0.8164,0.7916,0.856,1,0.868,1,0.6987,0.8639,0.8558,0.7646,0.4635,1,0.9418,0.9604,0.38,1
"CUN_L_SA",1,0.6295,0.7637,1,0.2054,1,1,1,1,1,1,1,0.7162,1,1,0.383,0.7563,1,1,1,1,1,1,0.4793,0.4481,1,0.9268,1,1,0.6528,1,0.8108,0.9245,1,1,0.888,1,0.6716,1,1,1,0.6616,0.7483,1,0.8692,1,0.7079,1,1,0.8418,0.5979,0.9041,0.754,0.7501,1,1,0.9189,1,1,0.8208,0.813,0.9897,0.895,0.6631,0.8847,0.9398,0.9066,1,0.4096,1,1,0.9092,0.9245,0.9202,0.8171,1,0.5431,0.9838
"LING_L_SA",1,1,0.9155,0.8804,1,0.9297,1,1,1,1,0.7632,0.7672,1,1,0.9364,0.8916,1,0.5493,1,1,1,1,1,0.8624,0.2957,1,1,1,1,0.6295,1,0.9748,1,0.5858,1,0.4547,1,0.5168,0.8482,1,1,1,0.9112,1,0.4741,0,0.8708,1,1,1,0.9748,1,1,1,0.7723,1,0,0.5999,1,1,1,1,0.9324,0.6079,1,1,1,0.6491,0.5296,0.3918,0.7864,1,0.6977,1,0.9573,1,0.3187,1
"SOG_L_SA",0.9616,0.8685,0.6265,0.8905,0.6137,0.9399,1,1,0.9947,0.9339,0.7353,0.8952,0.616,0,0.7343,0.1613,1,1,0.3239,1,1,1,1,0.6511,0.9102,1,0.9348,1,0.5718,0.1264,0.9181,1,0.6716,1,1,1,1,0.7023,1,1,0.6138,0.9548,1,0.7919,0.4836,1,0.7693,0.626,0.3824,0.322,1,1,0.7782,0.3489,0.6773,0.7883,0,0.7334,0.7535,0.8153,0.4352,0.9637,1,0.5902,0.774,0.9413,1,1,0.2485,0.4641,0.881,0.6216,0.6675,0.2641,0.9168,0.9554,0.7947,1
"MOG_L_SA",0.6969,0.3987,0.3984,0.7867,0.2904,0.5881,0,0.7871,0.3508,0.2257,0.5,0.4933,0.1754,0,0.4942,0.2772,0.6637,0.8859,0.643,0.6789,0.3786,0.6377,0.6172,1,0.6096,1,0.6841,0.8417,1,1,1,0.7011,0.6255,0.6798,1,0.6695,0.8805,0.8581,1,0.5479,0.5327,0.665,0.5591,0.6424,0.5327,0.4655,0.6864,0.3773,0.5187,0.8151,0.3361,0.801,0.5399,0.2549,0.3728,0.4944,0.4762,0.8169,0.8603,0.7485,0.5865,0.7227,0.6405,0.6123,0.679,0.5602,0.5478,0.526,0.4227,0.8689,0.7059,0.8892,0.2249,0.4597,0.6655,0.6989,0.2294,0.6482
"IOG_L_SA",0.7377,1,0.6927,0.6782,0,0.7397,0.1327,0.3093,1,0.4616,0.9303,1,1,1,1,0.0079,0.8241,0.6833,1,0.9063,0.4894,0.4242,1,0.6852,1,0.9086,0.8909,0.0894,0.8732,0.8249,1,0.8775,0.5791,0,0.4127,0.7703,0.9502,1,0.8837,0.8002,0.8115,0.9978,0.534,0.8865,1,0.8817,1,0.69,1,1,0.4802,0.5143,0.8477,1,0.8459,0.787,0.026,0.304,0.8905,0.834,0.914,0.7236,0.8029,0.6463,0.6282,1,0.3701,0.3894,0.5047,0.9134,0.9037,0.3372,0.0023,0.9903,1,0.8726,0,0.6485
"FFG_L_SA",0.9983,0.9738,1,0.8687,0.7541,1,0.8952,0.9048,1,1,0.7848,1,0.7274,0.6717,1,1,0.9257,1,0.9173,1,1,1,1,1,0.875,1,1,0.6366,1,0.9833,0.7895,1,0.708,0.3727,0.9463,1,1,0.5926,1,1,1,1,0.8656,0.6219,1,1,1,0.7578,1,1,1,1,1,0.9933,0.834,0.79,1,0.913,1,1,1,1,1,0.6818,0.8224,0.8377,1,0.8696,0.5817,1,1,1,0,1,1,1,0.6058,0.9505
"PoCG_L_SA",0.883,0.772,0.8524,0.9775,1,1,0.9649,1,0.9252,0.9784,1,0.9035,0.7116,0.834,1,1,1,0.9573,1,0.9935,0.8881,1,0.9088,0.7091,0.7487,1,1,1,0.956,0.748,1,1,0.9744,0.8999,1,0.8017,0.8733,1,1,0.8965,1,0.9588,1,0.9206,0.9319,0.629,1,0.9822,0.973,1,0.7636,0.9689,0.7716,0.9202,1,1,1,1,1,0.9691,0.7437,0.9449,0.9688,0.8143,1,0.8754,0.7385,0.7115,0.5624,1,1,1,0.5367,0.6634,0.8554,0.9766,0.3648,0.87
